,date,id,content,hashtags
0,2020-03-30 23:58:43+00:00,1244776099449626624,Thanks @NatGeoMag just the extra scoop of depression I needed during the quarantine. #COVID19 #Quarantine https://t.co/piZJZ783sN,"['COVID19', 'Quarantine']"
1,2020-03-30 23:57:31+00:00,1244775798214705157,"#Quarantine realization: 

It is impossible to workout from home without a minimum of 5 interruptions from your cat.

They clearly don’t understand social distancing.

#QuarantineLife #CatsOfTwitter #COVID19 #fitness #WorkoutFromHome","['Quarantine', 'QuarantineLife', 'CatsOfTwitter', 'COVID19', 'fitness', 'WorkoutFromHome']"
2,2020-03-30 23:57:11+00:00,1244775712529108994,It’s not fair #Snapchat #SocialDistancing #Quarantine #missmyfriends #COVID19 #apocalypse2020 #pandemic https://t.co/KmSbZdKIqL,"['Snapchat', 'SocialDistancing', 'Quarantine', 'missmyfriends', 'COVID19', 'apocalypse2020', 'pandemic']"
3,2020-03-30 23:56:51+00:00,1244775627258986496,"Since this quarantine started, the risk of starting a podcast has gone up. #Quarantine #COVID19","['Quarantine', 'COVID19']"
4,2020-03-30 23:56:28+00:00,1244775533331853313,"Thank u our Police and doctors 🙏💚 🇮🇳
#StayHomeSaveLives #21daysLockdown 
#COVID19 #StayHome 
#Quarantine https://t.co/d1yo21IJbQ","['StayHomeSaveLives', '21daysLockdown', 'COVID19', 'StayHome', 'Quarantine']"
5,2020-03-30 23:56:17+00:00,1244775485135036416,I am now officially concerned that we are going to run out of barley. #StuffINeverThoughtIdSay #StayAtHome #Quarantine #COVID19 #COVID2019,"['StuffINeverThoughtIdSay', 'StayAtHome', 'Quarantine', 'COVID19', 'COVID2019']"
6,2020-03-30 23:54:41+00:00,1244775082708226048,"Amidst of the Crisis, CHRISTis the Answer. #COVID19 #Politics #disasterrecovery #crisis #Quarantine https://t.co/K4Z5UDNTry","['COVID19', 'Politics', 'disasterrecovery', 'crisis', 'Quarantine']"
7,2020-03-30 23:54:40+00:00,1244775078400794624,"This study, though small, calls into question the 14 day quarantine. @cdc #covid19 #coronavirus #quarantine","['covid19', 'coronavirus', 'quarantine']"
8,2020-03-30 23:53:48+00:00,1244774859797823489,"Day 13 on lockdown and the natives are getting restless...
.
.
.
.
.
#socialdistancing #covid19 #workfromhome #stayhome #coronavirus #stayathome #quarantine #ffldealer #gunshop #gunstore #ccw #2ndamendment #edc… https://t.co/OW4xfKmu2e","['socialdistancing', 'covid19', 'workfromhome', 'stayhome', 'coronavirus', 'stayathome', 'quarantine', 'ffldealer', 'gunshop', 'gunstore', 'ccw', '2ndamendment', 'edc']"
9,2020-03-30 23:53:39+00:00,1244774826012626945,🧻🙏🏼😷 Me Every Time I Go To The Store  lol 😂🤣😂🤣😂🤣 #Facts #lifesariskcarnal #lockdown #quarantine #shelterinplace #socialdistancing #coronavirus #covid_19 #covid19 #2020 #vatoslocosforever #VL #bloodinbloodout… https://t.co/P2vvTPvf82,"['Facts', 'lifesariskcarnal', 'lockdown', 'quarantine', 'shelterinplace', 'socialdistancing', 'coronavirus', 'covid_19', 'covid19', 'vatoslocosforever', 'VL', 'bloodinbloodout']"
10,2020-03-30 23:53:12+00:00,1244774712611201024,"On top of everything else #COVID19 is breaking up marriages too.
.
.
#QuarantineLife #Quarantine
#seattle #tacoma #bellevue #federalway #divorce #divorceattorney #familylaw #marriage #relationship 
.
https://t.co/Vvx5AFwoyJ","['COVID19', 'QuarantineLife', 'Quarantine', 'seattle', 'tacoma', 'bellevue', 'federalway', 'divorce', 'divorceattorney', 'familylaw', 'marriage', 'relationship']"
11,2020-03-30 23:52:39+00:00,1244774572911661056,"https://t.co/ROlvIwrf4x
Steam inhalation is a lovely way to take in the goodness offered by nature!
The most amazing way to learn the Classification&amp; Properties of Elements, Groups &amp; Blocks of Periodic Table
#learnwithSaep #quarantine #chemistrylove  #covid19 #SocialDistancing","['learnwithSaep', 'quarantine', 'chemistrylove', 'covid19', 'SocialDistancing']"
12,2020-03-30 23:51:56+00:00,1244774391004704770,What’s the first thing you doing once the #COVID19 #Quarantine is over?,"['COVID19', 'Quarantine']"
13,2020-03-30 23:51:28+00:00,1244774273408999427,"Me opening up to people.

#COVID19 
#TheLockdown
#Quarantine 
#LuchaLibre
#WrestleMania
#Warzone https://t.co/BSCDdimA8U","['COVID19', 'TheLockdown', 'Quarantine', 'LuchaLibre', 'WrestleMania', 'Warzone']"
14,2020-03-30 23:51:06+00:00,1244774183831244808,Tested positive for sad... #COVID19 #Quarantine #coronavirus,"['COVID19', 'Quarantine', 'coronavirus']"
15,2020-03-30 23:50:36+00:00,1244774056567717888,"We could and should become like the steppes, empty, infinite and, at the same time, full of life. 

#book #readabookchallenge #BookTalk #COVID19 #StayHomeSaveLives #Quarantine","['book', 'readabookchallenge', 'BookTalk', 'COVID19', 'StayHomeSaveLives', 'Quarantine']"
16,2020-03-30 23:50:30+00:00,1244774031213109249,Much love to @NewJerseyStage for posting this!  https://t.co/tyntV2KxRl Pre-Order 50 SONGS now at https://t.co/dBoU5yoWuf !  #musicislife #quarantinemusic #quarantine #newmusic #pandemic #me #love #singersongwriter #NewAlbum #acoustic #COVID19 #SocialDistance #quarantineactivites,"['musicislife', 'quarantinemusic', 'quarantine', 'newmusic', 'pandemic', 'me', 'love', 'singersongwriter', 'NewAlbum', 'acoustic', 'COVID19', 'SocialDistance', 'quarantineactivites']"
17,2020-03-30 23:50:21+00:00,1244773992205975553,"#sharealoha 
Take our #quarantinechallenge today and SHARE ALOHA across the globe! See previous post for details! It’s simple and easy! #gayislandguide #quarantine #hawaii #lgbthawaii #gayhawaii #covid_19 #covıd19 #coronavirus #maui #waterfalls #gaymaui #nature #mauinokaoi https://t.co/0LmjP0nTNo","['sharealoha', 'quarantinechallenge', 'gayislandguide', 'quarantine', 'hawaii', 'lgbthawaii', 'gayhawaii', 'covid_19', 'covıd19', 'coronavirus', 'maui', 'waterfalls', 'gaymaui', 'nature', 'mauinokaoi']"
18,2020-03-30 23:50:20+00:00,1244773987357425669,"@NYJOCKEY Happy birthday! A man rode his horse to town on Friday. The next day he rode back on Friday. How is this possible? 
A: The horse's name was Friday.

Corny but a joke none the less #COVID19 #quarantine","['COVID19', 'quarantine']"
19,2020-03-30 23:50:09+00:00,1244773941505294349,Come back #baseball #Yankees #nyy #Quarantine #COVID19 #sports https://t.co/pY9nwgkHl5,"['baseball', 'Yankees', 'nyy', 'Quarantine', 'COVID19', 'sports']"
20,2020-03-30 23:50:04+00:00,1244773921246896129,"[LEARN] Learn to Grow Your Own Cannabis: https://t.co/0poW2919zY. 

Do you have spare time due to #Coronavirus/#COVID19 #quarantine? Practice social distancing with a home #grow! Here's 👆🏼 a DOZEN educational articles about how to really do it!

#LearnAndTeachOthers™ https://t.co/NUM3yvSM7H","['Coronavirus', 'COVID19', 'quarantine', 'grow', 'LearnAndTeachOthers']"
21,2020-03-30 23:49:55+00:00,1244773885570154497,Coronavirus: India defiant as millions struggle under lockdown | Virus Information News  Full article -&gt; https://t.co/QDLb59DFQi #covid19 #coronavirus #virus #pandemic #coronavirusoutbreak #coronavirusepidemic #quarantine #selfquarantine #outbreak #COVIDー19 https://t.co/T1CeSBAIA1,"['covid19', 'coronavirus', 'virus', 'pandemic', 'coronavirusoutbreak', 'coronavirusepidemic', 'quarantine', 'selfquarantine', 'outbreak', 'COVIDー19']"
22,2020-03-30 23:49:03+00:00,1244773666753134592,"“Do you understand the CARONAS 🦠that are coming out of my mouth👄?”

#quarantine-O #movies #film #cinema entertainment while you #stayathome #stayhome #COVID19 🎭🍿📺🚫🦠😷🙏☀️✌️❤️🖐🧼🤚Police 👮‍♀️👮👮🏻‍♂️Academy https://t.co/40xcM0RfkW","['quarantine', 'movies', 'film', 'cinema', 'stayathome', 'stayhome', 'COVID19']"
23,2020-03-30 23:47:27+00:00,1244773265605787651,"Quarantine's got us like . . .

(📸by @thedoorishajar from a trip to @CampLucyOnCreek last fall)

#Quarantine #COVID19 #StaySafeStayHome https://t.co/HqXRjhs42o","['Quarantine', 'COVID19', 'StaySafeStayHome']"
24,2020-03-30 23:47:18+00:00,1244773227420954626,"For real tho.

#Coronavirustruth #TheLockdown #COVID19 #coronavirus #Quarantine #QuarantineLife https://t.co/mwEa0jZ1Yw","['Coronavirustruth', 'TheLockdown', 'COVID19', 'coronavirus', 'Quarantine', 'QuarantineLife']"
25,2020-03-30 23:46:23+00:00,1244772994096009216,"Smiling in the face of tragedy 
We give thanks and praise. 
#Pakankmultimedia #pakanmusicworld #pmw #music #smiles #covid19 #quarantine #stayathome #ghana #livelovelaugh #yolo @ Bortianor, Volta, Ghana https://t.co/DrC30G2FjD","['Pakankmultimedia', 'pakanmusicworld', 'pmw', 'music', 'smiles', 'covid19', 'quarantine', 'stayathome', 'ghana', 'livelovelaugh', 'yolo']"
26,2020-03-30 23:45:46+00:00,1244772842169716736,"Maybe people should have to earn shipping time by staying at home. Like you earn PTO working. 
#stonedrevelations #Quarantine #COVID19 #Coronavirustruth","['stonedrevelations', 'Quarantine', 'COVID19', 'Coronavirustruth']"
27,2020-03-30 23:44:48+00:00,1244772597679575040,This has made my #COVID19 #Quarantine damn AMAZING!!! https://t.co/bYERY4Fg0a,"['COVID19', 'Quarantine']"
28,2020-03-30 23:44:36+00:00,1244772545313849345,"Here is a simple recipe for a home made hand sanitizer with only 3 ingredients! Give it a try and let us know what you think. Remember to regularly wash and sanitizer your hands! 🧴
#stopthespread #coronavirus #covid19 #quarantine #homemade #diy #handsanitizer https://t.co/sPqBzpv50E","['stopthespread', 'coronavirus', 'covid19', 'quarantine', 'homemade', 'diy', 'handsanitizer']"
29,2020-03-30 23:44:21+00:00,1244772482319613952,Kendall’s Surprise Birthday Parade #Quarantine #QuarentineLife #coronavirus #COVID19 #QuarantineAndChill https://t.co/r68r10kLFq,"['Quarantine', 'QuarentineLife', 'coronavirus', 'COVID19', 'QuarantineAndChill']"
30,2020-03-30 23:44:02+00:00,1244772405278539781,Music fans #COVID19 #CoronavirusUSA #COVIDIOTS #Quarantine #coronavirus #TheLockdown #WorkFromHome #StayAtHome https://t.co/aDHLcLbrh5,"['COVID19', 'CoronavirusUSA', 'COVIDIOTS', 'Quarantine', 'coronavirus', 'TheLockdown', 'WorkFromHome', 'StayAtHome']"
31,2020-03-30 23:43:07+00:00,1244772175032094721,"What if this is the Truman Show and the cast and crew decided to go on break?

#COVID19 #Quarantine #SocialDistance","['COVID19', 'Quarantine', 'SocialDistance']"
32,2020-03-30 23:42:37+00:00,1244772048242606084,What part of “STAY AT HOME” people doesn’t understand? #COVID19 #Quarantine #SaveLives,"['COVID19', 'Quarantine', 'SaveLives']"
33,2020-03-30 23:42:01+00:00,1244771898170339328,"How do you think things are being handled with the #coronavirus?
#covid19 #quarantine
@PragerU #PragerFORCE @DennisPrager https://t.co/fwZR8Szz32","['coronavirus', 'covid19', 'quarantine', 'PragerFORCE']"
34,2020-03-30 23:41:00+00:00,1244771638698115072,"Trump's looking anywhere and everywhere for support. Lucky for him, My Pillow is designed to support the head and neck. 

#TrumpPressConf
#TrumpMadness #mypillowguy #COVID19 #Quarantine #Coronavirustruth #coronavirus #wtf #lol","['TrumpPressConf', 'TrumpMadness', 'mypillowguy', 'COVID19', 'Quarantine', 'Coronavirustruth', 'coronavirus', 'wtf', 'lol']"
35,2020-03-30 23:40:56+00:00,1244771623296737280,Are people really expecting to get accurate #CoronavirusPandemic information from @realDonaldTrump ..he used a sharpie on a hurricane map for God's sake. #COVID19 #Coronavirustruth #TrumpLiesAboutCoronavirus #Quarantine,"['CoronavirusPandemic', 'COVID19', 'Coronavirustruth', 'TrumpLiesAboutCoronavirus', 'Quarantine']"
36,2020-03-30 23:40:22+00:00,1244771481743212546,Jordanian going into #Quarantine because of #COVID19 says goodbye to family and friends 🤣🤦‍♂️ #coronavirus https://t.co/aNMjHYCpCM,"['Quarantine', 'COVID19', 'coronavirus']"
37,2020-03-30 23:40:02+00:00,1244771399153131522,"The Race to Keep Health Care Workers Protected From Covid-19 https://t.co/4cnLStJNcO

#CoronaVirus #CoronaVirusOutbreak #COVID2019 #covid19 #medtwitter #CoronaVirusChallenge #Corona #pandemic #batflu #Wuhan #Quarantine https://t.co/lvYaR2qlSO","['CoronaVirus', 'CoronaVirusOutbreak', 'COVID2019', 'covid19', 'medtwitter', 'CoronaVirusChallenge', 'Corona', 'pandemic', 'batflu', 'Wuhan', 'Quarantine']"
38,2020-03-30 23:39:10+00:00,1244771181171036162,How can we put our periods in deferment during quarantine? #covid19 #derferment #quarantine #periodsareannoying,"['covid19', 'derferment', 'quarantine', 'periodsareannoying']"
39,2020-03-30 23:38:46+00:00,1244771078947274753,Zoom work call 😂 @zoom_us #Covid_19 #COVID19 #Quarantine #zoommeeting #Zoom #meme #MEMES #memesdaily https://t.co/EpYzXv3jGf,"['Covid_19', 'COVID19', 'Quarantine', 'zoommeeting', 'Zoom', 'meme', 'MEMES', 'memesdaily']"
40,2020-03-30 23:37:13+00:00,1244770686666788867,"Not my dawg Pahlay #imGettinMoneyTho 😁. 🥋 Sensei. #theeSensei #Richz✨ 
#SpreadtheeWealth

#tattooartist #louisiana #dope #1990 #batonrouge #covid19 #coronavirusmeme #coronavirus #quarantine #quarantinememes… https://t.co/CRF9sfFlQx","['imGettinMoneyTho', 'theeSensei', 'Richz', 'SpreadtheeWealth', 'tattooartist', 'louisiana', 'dope', 'batonrouge', 'covid19', 'coronavirusmeme', 'coronavirus', 'quarantine', 'quarantinememes']"
41,2020-03-30 23:36:29+00:00,1244770502482116608,"Every correctional officer should be undergoing mandatory testing! We dont need more blood on our hands&amp;breakout in the prisons. What are we doing to prevent 
#AllLivesMatter #Coronavirustruth #coronavirus #COVID19 #Quarantine #pandemia #BreakingNews #attorneygeneral #Bernie2020 https://t.co/JdAD7fCh6g","['AllLivesMatter', 'Coronavirustruth', 'coronavirus', 'COVID19', 'Quarantine', 'pandemia', 'BreakingNews', 'attorneygeneral', 'Bernie2020']"
42,2020-03-30 23:35:55+00:00,1244770362887270400,"#IStayHomeFor our #Frontliners

These photos speak for itself.

You're not stuck at home.
""You're SAFE at home"". 🏡 

#StayAtHome #StayHome #coronavirus #COVID2019 #COVID19 #COVID19PH #Covid_19 #lockdown #quarantine #QuarantineLife #FrontLineHeroes https://t.co/0Tu1HpaDAl","['IStayHomeFor', 'Frontliners', 'StayAtHome', 'StayHome', 'coronavirus', 'COVID2019', 'COVID19', 'COVID19PH', 'Covid_19', 'lockdown', 'quarantine', 'QuarantineLife', 'FrontLineHeroes']"
43,2020-03-30 23:35:51+00:00,1244770342742241281,I can’t be sure but I think this is how all humans feel right now too 😹#StayHomeSaveLives #Quarantine #COVID19 #CatsOfTwitter https://t.co/6ml4LogbCS,"['StayHomeSaveLives', 'Quarantine', 'COVID19', 'CatsOfTwitter']"
44,2020-03-30 23:35:41+00:00,1244770301935849473,"My friend Shasta is such an awesome artist and helps parents make art with their kids with found objects around the home. If you’re looking for something to do with your kids while in #quarantine because of #COVID19, check her out! https://t.co/9OvjBU4OIs","['quarantine', 'COVID19']"
45,2020-03-30 23:35:23+00:00,1244770228116099073,Coronavirus Confirmed Cases By Country/Region @00:35 UTC: Subject To Change: Now Amounting To 200 #coronavirus #COVID19 #pandemic #quarantine #GlobalEmergency #HealthEmergency https://t.co/XMfB07R4sO https://t.co/LTR873nkHH,"['coronavirus', 'COVID19', 'pandemic', 'quarantine', 'GlobalEmergency', 'HealthEmergency']"
46,2020-03-30 23:34:46+00:00,1244770071823691777,"To put this into perspective I looked it up. Ann Franks family was in hiding for TWENTY FIVE MONTHS. 
They had to be silent/hidden.
Yet y’all can’t keep your asses at home for 14 DAYS with social media, internet, tv and phones. Ffs stay at home! #COVID19 #StayAtHome #Quarantine","['COVID19', 'StayAtHome', 'Quarantine']"
47,2020-03-30 23:34:22+00:00,1244769970556469248,"Love in the time of Coronavirus pt. 6

Our cat is making sure I'm working so she can have kibble and treats. 

#cats #catsofinstagram #quarantine #workfromhome #wfh #coronavirus #covid #covid19 https://t.co/NenzvUVk7y","['cats', 'catsofinstagram', 'quarantine', 'workfromhome', 'wfh', 'coronavirus', 'covid', 'covid19']"
48,2020-03-30 23:32:53+00:00,1244769598563442688,"Doing your part to prevent spread of the #Coronavirus/#COVID19 by practicing #SocialIsolation + #quarantine—only to find yourself bored + crawling the walls?

@leonardmaltin + a few other Hollywood entertainment geniuses can help! 👇🏽 https://t.co/akUzBCleBY","['Coronavirus', 'COVID19', 'SocialIsolation', 'quarantine']"
49,2020-03-30 23:32:31+00:00,1244769505483636738,"It's my experience that you can hear God clearest in the silence or in the chaos. Given the current state of affairs, many of us are experiencing our fair share of one or both! 

#COVID19 #Quarantine #StayAtHome","['COVID19', 'Quarantine', 'StayAtHome']"
50,2020-03-30 23:32:19+00:00,1244769456233971714,Watch 3% episode 4 it will literally show you a great social visual of similar circumstances minus a virus.. of course but resources are none food and water is very scarce. #coronavirus #Coronavirustruth #COVID19 #Quarantine #pandemic #worldnews #BREAKING #BreakingNews https://t.co/pSQHIqF6nb,"['coronavirus', 'Coronavirustruth', 'COVID19', 'Quarantine', 'pandemic', 'worldnews', 'BREAKING', 'BreakingNews']"
51,2020-03-30 23:31:02+00:00,1244769130668003329,"It’s 5:19 somewhere. Show us how you’re dressing for your #ViralHappyHour. No judgment.

#DrinkAloneTogether #VirtualHappyHour #Quarantine #QuarantineLife #Covid19 #Coronavirus https://t.co/EqDbrcFkX3","['ViralHappyHour', 'DrinkAloneTogether', 'VirtualHappyHour', 'Quarantine', 'QuarantineLife', 'Covid19', 'Coronavirus']"
52,2020-03-30 23:30:39+00:00,1244769036333756416,"My latest COVID19 project.  What a great service they're offering - and for free!  I know I'm stressed; how about you?

https://t.co/onGWvv0UwX

#coronavirus #covid19 #covid_19 #virus #quarantine #stress #management #counseling #treatment https://t.co/7zSwEQkwtn","['coronavirus', 'covid19', 'covid_19', 'virus', 'quarantine', 'stress', 'management', 'counseling', 'treatment']"
53,2020-03-30 23:30:35+00:00,1244769017547513856,"Adventures of Monster and Frankenstein.
.
.
.
.
.
.
.
.
.
. #monster #frankenstein #doggos #pnw #quarantine #optoutside #socialdistancing #covid19 https://t.co/TsRdwnxVgQ","['monster', 'frankenstein', 'doggos', 'pnw', 'quarantine', 'optoutside', 'socialdistancing', 'covid19']"
54,2020-03-30 23:30:23+00:00,1244768970672164872,"#virus,#corona,#covid19, isolation,#quarantine, #unemployment, toilet paper, hand sanitizers, n I knw thrs more we could definitely get a gathering of ppl all at least 6 ft apart to just throw any evening news cycle. U#virus know we'd all be ? wat hpnd waking ^ the next day lol","['virus', 'corona', 'covid19', 'quarantine', 'unemployment']"
55,2020-03-30 23:30:06+00:00,1244768899540963330,"#OFDA members can find the forms ""Authorization to Broadcast Funeral Service on Funeral Home Website"" and ""Direction to Record Funeral Service"" at https://t.co/QYDY28viUt under ""Helpful Links.""

#VirtualFuneralServices #SocialDistancing #COVID19 #Quarantine https://t.co/J06iZGXKX9","['OFDA', 'VirtualFuneralServices', 'SocialDistancing', 'COVID19', 'Quarantine']"
56,2020-03-30 23:30:01+00:00,1244768875943809026,"Crackdown on New York as US deaths double in two days https://t.co/ZlupzOpsaX

#CoronaVirus #CoronaVirusOutbreak #COVID2019 #covid19 #medtwitter #CoronaVirusChallenge #Corona #pandemic #batflu #Wuhan #Quarantine","['CoronaVirus', 'CoronaVirusOutbreak', 'COVID2019', 'covid19', 'medtwitter', 'CoronaVirusChallenge', 'Corona', 'pandemic', 'batflu', 'Wuhan', 'Quarantine']"
57,2020-03-30 23:28:33+00:00,1244768507268599808,"My ex-husband, a wonderful ER nurse, reported to me things are getting dicey as they must recycle protective coverings. This is NOT good. Such choices are serious risks to both hospital employees and patients. Above all, please stay home to stay healthy.
#Quarantine #COVID19 https://t.co/JxmLxuzAZi","['Quarantine', 'COVID19']"
