,date,id,content,hashtags
0,2020-04-29 23:59:53+00:00,1255648027471044608,"Quarantine Day 11: The search for the perfect napping location continues!
.
.
.
#covid #covid19 #coronavirus #quarantine #quarantinelife #quarantinediaries #day11 #dog #puppy #seattle #dogsofseattle #dogsofinstagram… https://t.co/LnokDcsYzT","['covid', 'covid19', 'coronavirus', 'quarantine', 'quarantinelife', 'quarantinediaries', 'day11', 'dog', 'puppy', 'seattle', 'dogsofseattle', 'dogsofinstagram']"
1,2020-04-29 23:53:37+00:00,1255646453369835523,"At the end of each night lately, I reflect on how lucky I am to be able to spend time watching austyn grow, while getting paid. But man, I've never been so exhausted in my whole life trying to juggle 3 jobs everyday. #covid19 #Quarantine","['covid19', 'Quarantine']"
2,2020-04-29 23:39:22+00:00,1255642863720947713,These things always make me happy to find. What are they called? #corona #coronavirus #covid #covid19 #covıd19 #virus #quarantine #quarantinelife #quarantineandchill #masks #stayhome #stayhealthy #staysafe… https://t.co/kK7Gaz9OYU,"['corona', 'coronavirus', 'covid', 'covid19', 'covıd19', 'virus', 'quarantine', 'quarantinelife', 'quarantineandchill', 'masks', 'stayhome', 'stayhealthy', 'staysafe']"
3,2020-04-29 23:38:41+00:00,1255642692631048199,"Two Week #Twitterdeal!!!???? 

On April 11, US President Trump's White House followed PM Modi as a good gesture after  India visit.

On April 29 , US White House Unfollowed PM Modi  after India Govt allowing the export of hydroxychloroquine .

#Self #Quarantine #COVID19 #Lockdown https://t.co/iVa8iYtoak","['Twitterdeal', 'Self', 'Quarantine', 'COVID19', 'Lockdown']"
4,2020-04-29 23:31:43+00:00,1255640938656956418,"""Dance is the hidden language of the soul""~~ Martha Graham. Have a Happy International Dance Day. #Nature #Journey #Spring #ClimateChange #WeatherPatterns #COVID19 #Coronavirus #SocialDistancing #Music #Birds #Rain #SelfCare #StayAtHome #LockDown #SaveLives #Quarantine #Dance https://t.co/ayYkrFBZIV","['Nature', 'Journey', 'Spring', 'ClimateChange', 'WeatherPatterns', 'COVID19', 'Coronavirus', 'SocialDistancing', 'Music', 'Birds', 'Rain', 'SelfCare', 'StayAtHome', 'LockDown', 'SaveLives', 'Quarantine', 'Dance']"
5,2020-04-29 23:31:41+00:00,1255640931711299586,"These Big Birds will be back &amp; Soaring High Soon! #InThisTogether ✈️ #PerfectPublicity

#Covid19 #Coronavirus #Quarantine #ThankYouHeros #EssentialWorkers #Pandemic #CoronavirusPandemic #CoronaOutbreak #aviation… https://t.co/xIeVt61E47","['InThisTogether', 'PerfectPublicity', 'Covid19', 'Coronavirus', 'Quarantine', 'ThankYouHeros', 'EssentialWorkers', 'Pandemic', 'CoronavirusPandemic', 'CoronaOutbreak', 'aviation']"
6,2020-04-29 23:31:03+00:00,1255640772638097409,"#ReadMore about A Restoring Sabbath
This post by Dena Dyer reminds us of the value of a Sabbath. How are you using the unintentional Sabbath of Quarantine? How are you allowing yourself and your “land” to rest?
#COVID19 #Quarantine #Sabbath #Rest  #Refocus
https://t.co/u2iFo39gTG https://t.co/K2aPqyJqLA","['ReadMore', 'COVID19', 'Quarantine', 'Sabbath', 'Rest', 'Refocus']"
7,2020-04-29 23:30:20+00:00,1255640591880163330,"I haven't laughed this hard in a while. Zoom in and check it out- must read! 

#levity #oped #cat #kitty #kittycat #pets #coronavirus #covid19 #pandemic #quarantine #stayathome #workfromhome #wfh #shelterinplace #family https://t.co/y38qDTMQ4k","['levity', 'oped', 'cat', 'kitty', 'kittycat', 'pets', 'coronavirus', 'covid19', 'pandemic', 'quarantine', 'stayathome', 'workfromhome', 'wfh', 'shelterinplace', 'family']"
8,2020-04-29 23:30:08+00:00,1255640543507492867,"China banned a video game called 'Coronavirus Attack' where players stop zombies from spreading the virus and win badges like 'Liberate Hong Kong' https://t.co/tHytt9wOwi

#CoronaVirus #COVID2019 #covid19 #virus #CoronaVirusChallenge #Corona #pandemic #Quarantine https://t.co/JCX02KCsCJ","['CoronaVirus', 'COVID2019', 'covid19', 'virus', 'CoronaVirusChallenge', 'Corona', 'pandemic', 'Quarantine']"
9,2020-04-29 23:29:32+00:00,1255640390063005698,"Suburbia Florida... Such an interesting place. It's like the 1970's, but not. What should we explore here?
·
·
·
·
·
#destin #corona #destinfl #covid19 #atlantaphotographer #atlantaphotog #florida #quarantine #quarantinelife #fl #photographyislife #stayh… https://t.co/g6F80a1Bc1 https://t.co/bRAnR8xgcG","['destin', 'corona', 'destinfl', 'covid19', 'atlantaphotographer', 'atlantaphotog', 'florida', 'quarantine', 'quarantinelife', 'fl', 'photographyislife', 'stayh']"
10,2020-04-29 23:29:31+00:00,1255640387567464451,"Things I won’t soon forget. #7pmnyc #essentialworkers #covid19 #nyonpause #shutdown #quarantine #nightlystroll @ New York, New York https://t.co/Bw65UU0EkA","['7pmnyc', 'essentialworkers', 'covid19', 'nyonpause', 'shutdown', 'quarantine', 'nightlystroll']"
