,date,id,content,hashtags
0,2020-05-30 23:53:34+00:00,1266880463144194049,Do you think the #COVID19 lockdown will cause “Irreplaceable Damage”? #Quarantine,"['COVID19', 'Quarantine']"
1,2020-05-30 23:50:02+00:00,1266879572987056128,"Here's what employers can and can't do when they take your temperature in return to work https://t.co/wAKU2LHVzh

#pandemictech @news_pandemic #CoronaVirus #CoronaVirusOutbreak #COVID2019 #covid19  #virus #Corona #pandemic #Quarantine #socialdistancing #batflu #Wuhan #medtwitter https://t.co/z6u1W68Vim","['pandemictech', 'CoronaVirus', 'CoronaVirusOutbreak', 'COVID2019', 'covid19', 'virus', 'Corona', 'pandemic', 'Quarantine', 'socialdistancing', 'batflu', 'Wuhan', 'medtwitter']"
2,2020-05-30 23:36:04+00:00,1266876060823621634,"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety #onlineshopping #Quarantine #socialdistancing
CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of  #covid19
https://t.co/U3PLC00eep https://t.co/tp5pstAFKa","['facemasks', 'facemasks4all', 'gifts', 'shoppingonline', 'healthandsafety', 'onlineshopping', 'Quarantine', 'socialdistancing', 'covid19']"
3,2020-05-30 23:30:09+00:00,1266874568356040707,"How 'Cognitive' Tech Can Prevent a Food Crisis https://t.co/2tUnEUyJK6

#pandemictech @news_pandemic #CoronaVirus #CoronaVirusOutbreak #COVID2019 #covid19  #virus #Corona #pandemic #Quarantine #socialdistancing #batflu #Wuhan #medtwitter https://t.co/GubCMl6sQd","['pandemictech', 'CoronaVirus', 'CoronaVirusOutbreak', 'COVID2019', 'covid19', 'virus', 'Corona', 'pandemic', 'Quarantine', 'socialdistancing', 'batflu', 'Wuhan', 'medtwitter']"
4,2020-05-30 23:24:21+00:00,1266873111057702913,"@HamiltonAnthony talks #quarantine &amp; keeping business going!
#follow @247HH on #facebook, #instagram #twitter &amp; #spotify
#subscribe on #youtube to keep updated on your favorite artist daily!
#AnthonyHamilton #covid19  #singer #rnb #hiphop #culture #blacklivesmatter #blm #newmusic https://t.co/m2ajjwTtYj","['quarantine', 'follow', 'facebook', 'instagram', 'twitter', 'spotify', 'subscribe', 'youtube', 'AnthonyHamilton', 'covid19', 'singer', 'rnb', 'hiphop', 'culture', 'blacklivesmatter', 'blm', 'newmusic']"
5,2020-05-30 23:20:02+00:00,1266872025555054592,"Businesses are leaning on strong leadership during COVID-19 pandemic https://t.co/AbdS8mD1Fw

#pandemictech @news_pandemic #CoronaVirus #CoronaVirusOutbreak #COVID2019 #covid19  #virus #Corona #pandemic #Quarantine #socialdistancing #batflu #Wuhan #medtwitter https://t.co/WlLCDv9XHV","['pandemictech', 'CoronaVirus', 'CoronaVirusOutbreak', 'COVID2019', 'covid19', 'virus', 'Corona', 'pandemic', 'Quarantine', 'socialdistancing', 'batflu', 'Wuhan', 'medtwitter']"
6,2020-05-30 23:18:49+00:00,1266871718200717319,"My latest article for @_PantherNOW Figured some of us could use a guide during the pandemic. #COVID19 #pandemic #Quarantine  

https://t.co/iL4VMqK07S","['COVID19', 'pandemic', 'Quarantine']"
7,2020-05-30 23:14:59+00:00,1266870755033300992,"#COVID19 spreading 👇

#Quarantine https://t.co/C0YY33tfog","['COVID19', 'Quarantine']"
8,2020-05-30 23:13:28+00:00,1266870372764434437,"A little #Steampunk for your nerves...

#dressedfordinner #dresscovid #covid19 #quarantine #stayhomesavelives #stayhome #whiskey #bowler #tophat #instagood #instagay #instabear #instabeard #culturedbeards… https://t.co/gfNFCmPsLj","['Steampunk', 'dressedfordinner', 'dresscovid', 'covid19', 'quarantine', 'stayhomesavelives', 'stayhome', 'whiskey', 'bowler', 'tophat', 'instagood', 'instagay', 'instabear', 'instabeard', 'culturedbeards']"
9,2020-05-30 23:10:02+00:00,1266869508448366593,"How The US Can Learn About Successful Innovation Strategies From Israel, The Startup Nation https://t.co/GDHZRLdg93

#pandemictech @news_pandemic #CoronaVirus #CoronaVirusOutbreak #COVID2019 #covid19  #virus #Corona #pandemic #Quarantine #socialdistancing #batflu #Wuhan https://t.co/q0GIgpampL","['pandemictech', 'CoronaVirus', 'CoronaVirusOutbreak', 'COVID2019', 'covid19', 'virus', 'Corona', 'pandemic', 'Quarantine', 'socialdistancing', 'batflu', 'Wuhan']"
